Sr. No.,Date,Field Code,Embryo Code,Species,Egg Length (mm) ,Egg Width (mm) ,Snout to Vent (cm),Body Length (cm),Tail Length (cm),Head Length (mm),Head Width (mm),Snout to Nose (mm),Nose to Eye (mm),Gape (mm),Neck Circumference (mm),Body Circumference (mm),Egg Weigth (g) ,Embryo Weight (g),Yolk Weight (g),Sex,Photo No.,Remarks
193,03-04-2018,HSMT130,HSMT130.B3,Hydrophis schistosus,65.64,53.09,21.7,25,3.3,10.02,7.46,2.62,2.8,9.48,6.42,4.32,27,7,20,Female,,
194,03-04-2018,HSMT131,HSMT131.A1,Hydrophis schistosus,54.87,29.36,28.8,32.4,3.6,11.24,8.66,2.09,2.42,8.49,6.71,7.31,22,18,4,Female,,White umbelical cords
195,03-04-2018,HSMT131,HSMT131.A2,Hydrophis schistosus,50.16,36.83,24,30.6,6.6,11.66,7.42,3.16,3.36,9.78,5.84,5.94,21,17,4,Female,,White umbelical cords
196,03-04-2018,HSMT131,HSMT131.A3,Hydrophis schistosus,55.26,39.04,24.9,29.1,4.2,10.83,5.43,2.71,2.86,8.67,3.74,7.39,22,20,2,Female,,White umbelical cords
197,03-04-2018,HSMT131,HSMT131.A4,Hydrophis schistosus,49.63,37.04,25.5,29.8,4.3,10.82,5.57,2.96,1.96,8.58,4.35,4.58,21,16,5,Female,,White umbelical cords
198,03-04-2018,HSMT131,HSMT131.A5,Hydrophis schistosus,55.87,35.33,25.5,32.3,6.8,11.38,9.28,2.84,3.16,10.34,6.72,6.72,23,19,4,Female,,White umbelical cords
199,03-04-2018,HSMT131,HSMT131.A6,Hydrophis schistosus,73.98,31.72,25.8,33.1,7.3,11,6.12,2.74,1.75,8.17,5.4,4.98,23,18,5,Female,,White umbelical cords
200,03-04-2018,HSMT131,HSMT131.B1,Hydrophis schistosus,58.89,40.18,24.7,30.5,5.8,11.56,7,2.82,3.3,9.6,6.2,8.32,23,16,7,Female,,White umbelical cords
201,08-04-2018,HSDB184,HSDB184.1,Hydrophis schistosus,,,,,,,,,,,,,,17,,Male,SD IMG 140608,"Ske gave birth while under observation during the night; SVL, TL, etc. to be measured from photograph"
202,10-04-2018,HSDB189,HSDB189.1,Hydrophis schistosus,,,28.5,31.5,3,,,,,,,,,15,,Female?,,
203,10-04-2018,HSDB189,HSDB189.2,Hydrophis schistosus,,,27.5,30.8,3.3,,,,,,,,,13,,Female?,,
204,10-04-2018,HSDB189,HSDB189.3,Hydrophis schistosus,,,28.5,31.5,3,,,,,,,,,13,,Female?,,
205,10-04-2018,HSDB189,HSDB189.4,Hydrophis schistosus,,,30.4,33.3,2.9,,,,,,,,,15,,Female?,,
206,10-04-2018,HSDB189,HSDB189.5,Hydrophis schistosus,,,28.5,31.5,3,,,,,,,,,13,,Female?,,Died?
207,10-04-2018,HSDB189,HSDB189.6,Hydrophis schistosus,,,28.6,32.9,4.3,11.66,8.62,2.82,3.06,9.76,7.14,13.84,,15,,Female,,Still born
208,09-05-2018,HSDB225,HSDB225.A1,Hydrophis schistosus,51,42.86,,,,,,,,,,,19,16,3,Female,,Sex to be reconfirmed
209,09-05-2018,HSDB225,HSDB225.A2,Hydrophis schistosus,46.31,41.22,,,,,,,,,,,18,15,3,Female,,Sex to be reconfirmed
210,09-05-2018,HSDB225,HSDB225.A3,Hydrophis schistosus,56.31,37.2,,,,,,,,,,,18,15,3,Female,,Sex to be reconfirmed
211,09-05-2018,HSDB225,HSDB225.B1,Hydrophis schistosus,57.46,31.12,,,,,,,,,,,17,12,5,Female,,Sex to be reconfirmed
212,09-05-2018,HSDB225,HSDB225.B2,Hydrophis schistosus,,,,,,,,,,,,,,14,,Female,,"Elongated in uterus, ready for borth?"
213,18-11-2018,HSTR4047,HSTR4047.A1,Hydrophis schistosus,36.59,24.42,,,,,,,,,,,8,,,,,
214,18-11-2018,HSTR4047,HSTR4047.A2,Hydrophis schistosus,34.3,24.43,,,,,,,,,,,9,,,,,
215,18-11-2018,HSTR4047,HSTR4047.A3,Hydrophis schistosus,26.57,24.94,,,,,,,,,,,7,,,,,
216,18-11-2018,HSTR4047,HSTR4047.A4,Hydrophis schistosus,33.87,24.81,,,,,,,,,,,8,,,,,
217,18-11-2018,HSTR4047,HSTR4047.A5,Hydrophis schistosus,33.29,20.86,,,,,,,,,,,8,,,,,
218,18-11-2018,HSTR4047,HSTR4047.A6,Hydrophis schistosus,39.38,17.37,,,,,,,,,,,8,,,,,
219,18-11-2018,HSTR4047,HSTR4047.B1,Hydrophis schistosus,31.81,22.19,,,,,,,,,,,6,,,,,
220,18-11-2018,HSTR4047,HSTR4047.B2,Hydrophis schistosus,30.36,25.6,,,,,,,,,,,8,,,,,
221,18-11-2018,HSTR4047,HSTR4047.B3,Hydrophis schistosus,33.99,25.78,,,,,,,,,,,8,,,,,
222,18-11-2018,HSTR4047,HSTR4047.B4,Hydrophis schistosus,33.34,23.88,,,,,,,,,,,7,,,,,
223,18-11-2018,HSTR4047,HSTR4047.B5,Hydrophis schistosus,36.59,24.16,,,,,,,,,,,9,,,,,
224,18-11-2018,HSTR4047,HSTR4047.B6,Hydrophis schistosus,27.57,23.86,,,,,,,,,,,9,,,,,
225,22-11-2018,HSGN4026,HSGN4026.A1,Hydrophis schistosus,25.98,17.25,,,,,,,,,,,6,,,,,
226,22-11-2018,HSGN4026,HSGN4026.A2,Hydrophis schistosus,27.51,19.86,,,,,,,,,,,6,,,,,
227,22-11-2018,HSGN4026,HSGN4026.A3,Hydrophis schistosus,25.15,18.41,,,,,,,,,,,6,,,,,
228,22-11-2018,HSGN4026,HSGN4026.A4,Hydrophis schistosus,27.85,19.92,,,,,,,,,,,6,,,,,
229,22-11-2018,HSGN4026,HSGN4026.A5,Hydrophis schistosus,31.14,19.36,,,,,,,,,,,7,,,,,
230,22-11-2018,HSGN4026,HSGN4026.A6,Hydrophis schistosus,29.36,18.86,,,,,,,,,,,7,,,,,
231,22-11-2018,HSGN4026,HSGN4026.B1,Hydrophis schistosus,30.55,17.38,,,,,,,,,,,6,,,,,
232,22-11-2018,HSGN4026,HSGN4026.B2,Hydrophis schistosus,27.13,19.35,,,,,,,,,,,6,,,,,
233,22-11-2018,HSGN4026,HSGN4026.B3,Hydrophis schistosus,24.81,19.85,,,,,,,,,,,6,,,,,
234,22-11-2018,HSGN4026,HSGN4026.B4,Hydrophis schistosus,26.73,18.36,,,,,,,,,,,6,,,,,
235,22-11-2018,HSGN4026,HSGN4026.B5,Hydrophis schistosus,31.61,13.65,,,,,,,,,,,6,,,,,
